sentWcAvg,mostRepFreqSum,diffWc,subordFreq,coordFreq,detArtFreq,indetArtFreq,avgWordLength
24.920000,0.232053,0.480801,0.055092,0.005008,0.120200,0.008347,4.859766277128556
28.526316,0.227099,0.517176,0.055344,0.003817,0.099237,0.017176,4.9904580152671745
27.200000,0.236190,0.489524,0.057143,0.005714,0.123810,0.009524,4.8419047619047575
18.892857,0.231076,0.490040,0.069721,0.009960,0.097610,0.003984,4.675298804780889
22.541667,0.225869,0.486486,0.081081,0.009653,0.096525,0.003861,4.70849420849423
19.258065,0.216931,0.532628,0.047619,0.001764,0.086420,0.012346,4.901234567901226
17.451613,0.232877,0.481409,0.072407,0.000000,0.097847,0.007828,4.6575342465753256
31.052632,0.220280,0.479021,0.057692,0.001748,0.097902,0.015734,4.582167832167821
24.545455,0.248555,0.485549,0.034682,0.000000,0.125241,0.017341,4.45472061657032
31.294118,0.211240,0.501938,0.042636,0.000000,0.118217,0.015504,4.947674418604641
19.920000,0.198312,0.533755,0.063291,0.000000,0.088608,0.012658,4.867088607594946
38.857143,0.214689,0.461394,0.047081,0.003766,0.096045,0.011299,4.768361581920896
19.185185,0.178862,0.463415,0.026423,0.010163,0.083333,0.016260,4.999999999999986
42.727273,0.243478,0.552174,0.054348,0.002174,0.119565,0.036957,4.969565217391307
35.600000,0.248077,0.538462,0.034615,0.003846,0.115385,0.013462,5.069230769230779
41.200000,0.233444,0.513245,0.028146,0.006623,0.112583,0.013245,5.17715231788077
36.533333,0.196629,0.552434,0.046816,0.003745,0.073034,0.044944,4.932584269662901
31.076923,0.186224,0.507653,0.040816,0.002551,0.079082,0.022959,5.145408163265311
21.636364,0.239560,0.534066,0.043956,0.004396,0.138462,0.021978,5.131868131868117
33.250000,0.180412,0.541237,0.056701,0.002577,0.082474,0.025773,5.154639175257718
39.636364,0.187793,0.530516,0.042254,0.014085,0.091549,0.007042,5.098591549295778
42.333333,0.205231,0.569416,0.046278,0.002012,0.096579,0.020121,4.989939637826961
26.640000,0.196262,0.453271,0.063863,0.006231,0.074766,0.031153,4.8520249221183365
17.625000,0.217636,0.562852,0.043152,0.001876,0.108818,0.030019,5.075046904315191
28.952381,0.202381,0.459184,0.073129,0.010204,0.076531,0.020408,4.892857142857147
28.350000,0.206204,0.525547,0.082117,0.003650,0.065693,0.031022,4.952554744525552
23.000000,0.212914,0.476440,0.094241,0.000000,0.083770,0.019197,4.844677137870864
33.235294,0.209472,0.502732,0.083789,0.005464,0.085610,0.020036,4.87613843351547
27.850000,0.217472,0.522305,0.072491,0.007435,0.092937,0.026022,4.955390334572472
29.722222,0.214286,0.527027,0.063707,0.005792,0.094595,0.034749,4.942084942084954
33.222222,0.220310,0.449225,0.074010,0.006885,0.103270,0.032702,4.896729776247848
18.785714,0.234469,0.470942,0.038076,0.000000,0.124248,0.008016,4.523046092184344
14.888889,0.199601,0.590818,0.029940,0.005988,0.111776,0.027944,5.055888223552893
14.621622,0.217822,0.596040,0.035644,0.003960,0.112871,0.019802,5.2257425742574295
13.021277,0.187279,0.579505,0.024735,0.001767,0.093640,0.022968,5.243816254416988
13.775000,0.212891,0.552734,0.042969,0.001953,0.089844,0.031250,4.91015625
17.451613,0.211350,0.575342,0.039139,0.000000,0.105675,0.027397,5.25636007827786
13.880952,0.217712,0.549815,0.036900,0.000000,0.110701,0.012915,5.000000000000014
13.666667,0.238384,0.585859,0.030303,0.004040,0.127273,0.032323,5.199999999999984
16.315789,0.200686,0.567753,0.044597,0.001715,0.097770,0.027444,5.3430531732418425
15.138889,0.225490,0.590196,0.031373,0.001961,0.119608,0.019608,5.08039215686273
14.702703,0.190945,0.612205,0.043307,0.001969,0.106299,0.011811,5.125984251968518
43.333333,0.212181,0.577603,0.047151,0.011788,0.102161,0.007859,5.100196463654233
28.578947,0.232381,0.521905,0.043810,0.009524,0.095238,0.007619,5.020952380952379
24.478261,0.238447,0.558226,0.033272,0.003697,0.090573,0.011091,5.179297597042507
34.333333,0.217565,0.556886,0.051896,0.005988,0.111776,0.027944,4.704590818363278
21.000000,0.223553,0.590818,0.053892,0.003992,0.101796,0.019960,4.8962075848303375
23.863636,0.224206,0.541667,0.045635,0.003968,0.101190,0.021825,4.835317460317467
18.827586,0.204633,0.563707,0.042471,0.001931,0.110039,0.021236,5.013513513513525
32.750000,0.188605,0.557957,0.056974,0.003929,0.074656,0.029470,4.69351669941062
28.722222,0.214000,0.542000,0.062000,0.008000,0.088000,0.022000,5.287999999999966
24.952381,0.182540,0.585317,0.061508,0.001984,0.071429,0.009921,5.039682539682548
